,link,title,prices,location,type,area,dates
8,https://www.99acres.com/1-bhk-bedroom-builder-floor-for-rent-in-bk-jhala-manjari-greens-5-manjri-bk-pune-950-sq-ft-spid-Z56565150,1 BHK Independent Builder Floor for rent in Manjri BK,"₹ 6,000 /monthDeposit 2 month(s) rent",BK Jhala Manjari Greens 5,1 BHK1 Bath,950 sq.ft. (88 sq.m.) Carpet Area,not give
9,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-ujwal-garden-sainikwadi-pune-510-sq-ft-spid-C56565018,1 BHK Residential Apartment for rent in Sainikwadi,"₹ 12,000 /monthDeposit ₹ 20000",Ujwal Garden,1 BHK1 Bath,510 sq.ft. (47 sq.m.) Carpet Area,not give
10,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-subhash-terrace-bharati-vidyapeeth-pune-1000-sq-ft-spid-T56564760,2 BHK Residential Apartment for rent in Bharati Vidyapeeth,"₹ 18,500 /monthDeposit 1 month(s) rent",Subhash Terrace,2 BHK2 Baths,"1,000 sq.ft. (93 sq.m.) Carpet Area",not give
11,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-monika-plaza-papde-wasti-pune-500-sq-ft-spid-J56564758,1 BHK Residential Apartment for rent in Papde Wasti,"₹ 5,500 /monthDeposit ₹ 10000",Monika Plaza,1 BHK1 Bath,500 sq.ft. (46 sq.m.) Super built-up Area,not give
12,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-xrbia-riverfront-tale-gaon-pune-400-sq-ft-spid-K56564264,1 BHK Residential Apartment for rent in Talegaon,"₹ 5,500 /monthDeposit ₹ 20000",Xrbia Riverfront,1 BHK1 Bath,400 sq.ft. (37 sq.m.) Carpet Area,not give
13,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-madhuban-society-vishrantwadi-pune-650-sq-ft-spid-P56564022,1 BHK Residential Apartment for rent in Vishrantwadi,"₹ 14,500 /monthDeposit ₹ 40000",Madhuban Society,1 BHK1 Bath,650 sq.ft. (60 sq.m.) Carpet Area,not give
14,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-pokale-park-dhayri-pune-565-sq-ft-spid-Q56498012,1 BHK Residential Apartment for rent in Dhayari,"₹ 6,800 /monthDeposit ₹ 20000",Pokale Park ,1 BHK1 Bath,565 sq.ft. (52 sq.m.) Super built-up Area,not give
15,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-sai-paradise-punawale-pune-990-sq-ft-spid-Q56561384,2 BHK Residential Apartment for rent in Punawale,"₹ 16,000 /monthDeposit ₹ 60000",Sai Paradise,2 BHK2 Baths,990 sq.ft. (92 sq.m.) Super built-up Area,not give
16,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-splendour-county-rahatani-pune-1200-sq-ft-spid-P48286507,2 BHK Residential Apartment for rent in Rahatani,"₹ 23,000 /monthDeposit ₹ 60000",Splendour County,2 BHK2 Baths,"1,200 sq.ft. (111 sq.m.) Built-up Area",not give
17,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-sai-krupa-krishnaraj-colony-pimple-gurav-pune-550-sq-ft-spid-X56561294,1 BHK Residential Apartment for rent in Pimple Gurav,"₹ 10,000 /monthDeposit ₹ 30000","Sai Krupa,Krishnaraj colony",1 BHK2 Baths,550 sq.ft. (51 sq.m.) Carpet Area,not give
18,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-siddhi-morya-residency-hinjewadi-phase-1-pune-600-sq-ft-spid-S33317323,1 BHK Residential Apartment for rent in Hinjewadi Phase 1,"₹ 12,500 /monthDeposit ₹ 30000",Siddhi Morya Residency,1 BHK1 Bath,600 sq.ft. (56 sq.m.) Super built-up Area,not give
